property_name,tenant_name,rent_amount,lease_start,_3leases_rolling_average
Kelley-Lamb,"Nicholas Perez",40499,2022-04-01,20438
Kelley-Lamb,"Cheryl Thomas",35431,2022-08-12,30493
Kelley-Lamb,"Kristine Roach",7027,2023-04-25,27652
Kelley-Lamb,"Deanna Johnson",6077,2023-07-24,16178
Kelley-Lamb,"Kathy Mendoza",29410,2023-10-15,14171
"Kelly and Sons","Justin Wilson",40599,2020-06-26,40599
"Kelly and Sons","Patricia Smith",22527,2023-11-22,31563
"Kelly and Sons","Mark Wagner",43382,2024-10-21,35503
"Kelly Inc","Richard Ward",11553,2020-11-27,11553
"Kelly Inc","Emily Carlson",35570,2022-01-24,23562
"Kelly Inc","Ms. Maria Austin",40444,2022-03-30,29189
"Kelly Inc","Jennifer Rodriguez",47671,2023-06-16,41228
"Kelly Inc","Deanna Collins",9103,2023-12-26,32406
"Kelly Inc","Lisa Wagner",48086,2024-05-27,34953
"Kelly Inc","Amy Barnes",49386,2024-07-10,35525
Khan-Morales,"Jeffrey Sims",21047,2020-02-23,21047
Khan-Morales,"Christopher Stone",43107,2022-12-22,32077
Khan-Morales,"Karen Oconnor",26370,2023-11-20,30175
"Khan, White and Wall","Aaron Barrett",39946,2022-01-17,39946
"Khan, White and Wall","Curtis Swanson",8913,2022-03-16,24430
"Khan, White and Wall","Stephanie Green",19625,2022-09-30,22828
"Khan, White and Wall","Cheryl Cunningham",17349,2024-07-20,15296
"Kim, Robinson and Browning","Kaitlin Stewart",43984,2020-10-23,43984
"Kim, Robinson and Browning","Danielle Cochran",4282,2023-10-11,24133
"King PLC","John Henry",5441,2020-07-31,5441
"King, Cobb and Campbell","Alejandro Morton",27332,2020-11-17,27332
"King, Cobb and Campbell","Joshua Silva",24845,2021-02-11,26089
"King, Cobb and Campbell","Shelby Smith",34951,2022-10-21,29043
"King, Cobb and Campbell","Andrew Jones Jr.",34608,2023-04-11,31468
"King, Cobb and Campbell","Sherri Santiago",32978,2023-09-02,34179
"King, Cobb and Campbell","Larry Allen",48960,2024-07-18,38849
"Knight, Henry and Chandler","Deanna Johnson",8071,2020-03-19,8071
"Knight, Henry and Chandler","Roberta Kerr",13302,2023-04-18,10687
"Knight, Henry and Chandler","Patty Anderson",37019,2023-04-28,19464
"Knight, Henry and Chandler","Daniel Dominguez",3743,2023-09-23,18021
"Knight, Henry and Chandler","Erin Flores",33319,2024-07-07,24694
"Krause Inc","Timothy Henderson",38782,2021-10-25,38782
"Krause Inc","Stephen Hamilton",22221,2021-11-19,30502
"Krause Inc","Kirsten Smith",21008,2023-07-25,27337
"Krause Inc","Denise Alvarez",26158,2023-11-01,23129
"Krause Inc","Michael Miller",11955,2024-03-15,19707
"Krause Inc","Tiffany Ellis",9967,2024-06-08,16027
"Landry LLC","Scott Woods",6793,2020-10-29,6793
"Landry LLC","Melissa Lee",14008,2021-06-21,10401
"Landry LLC","Dana Johnson",2553,2021-07-18,7785
"Landry LLC","Stephanie Jacobson MD",23578,2021-11-09,13380
"Lara Group","Michelle Ford",38615,2021-02-07,38615
"Lara Group","Michelle Pitts",28814,2021-05-28,33715
"Lara Group","Patricia Wells",35222,2021-08-02,34217
"Lara Group","Jo Scott",12327,2022-05-07,25454
"Lara Group","Brian Thomas",26386,2023-04-24,24645
Larson-Morris,"Donald King",37904,2021-05-06,37904
Larson-Morris,"Matthew Allen",5127,2021-07-10,21516
Larson-Morris,"Jeffrey Rivera",49868,2022-10-03,30966
Larson-Morris,"David Anderson",40055,2023-07-07,31683
Larson-Morris,"Dwayne Thompson",43260,2023-11-15,44394
Larson-Morris,"Sharon Mahoney",38763,2024-03-16,40693
Larson-Morris,"Daniel Mccormick",38553,2024-05-22,40192
"Lee LLC","Mark Villarreal",32043,2021-01-26,32043
"Lee LLC","Heather Day",9734,2021-10-17,20889
"Lee LLC","Chelsea Strickland",4938,2021-12-24,15572
"Lee LLC","Jessica Smith",18435,2022-06-13,11036
"Lee LLC","Margaret Evans",38539,2022-07-14,20637
"Lee LLC","Edward Shaw",40008,2023-04-15,32327
"Lee Ltd","Audrey Miranda",19397,2023-08-09,19397
"Lee Ltd","Robert Carr",29194,2023-12-25,24296
"Lee Ltd","Danny Wright",15134,2024-02-07,21242
Lee-Martinez,"Rebekah Maynard",41873,2020-05-16,41873
Lee-Martinez,"Amber Jones",45020,2020-10-03,43447
Lee-Martinez,"Laura Frye",28442,2020-10-08,38445
Lee-Martinez,"Charles Cherry",20717,2021-04-12,31393
Lee-Martinez,"Donna Peterson",36958,2024-01-29,28706
"Lee, Johnson and Zimmerman","Mathew Joseph",48323,2020-07-25,48323
"Lee, Johnson and Zimmerman","Wanda Conway",49187,2022-08-20,48755
"Lee, Johnson and Zimmerman","Nicole Mullins",20747,2022-08-31,39419
"Lee, Juarez and Mason","Karen Boyd",36306,2020-03-01,36306
"Lee, Juarez and Mason","Anthony Glover",46547,2021-01-31,41427
"Lee, Juarez and Mason","Michael Meza",48244,2021-02-15,43699
"Lee, Juarez and Mason","Margaret Shelton",21951,2021-03-06,38914
"Lee, Juarez and Mason","Austin Moreno",6611,2021-11-15,25602
"Lee, Juarez and Mason","James Wilson",14725,2024-09-03,14429
"Lewis Group","Jordan Brown",8111,2020-06-14,8111
"Lewis Group","Timothy Gaines",33415,2023-11-13,20763
"Lewis Inc","Brandon Krause",7672,2020-06-02,7672
"Lewis Inc","Jacqueline Fletcher",38935,2022-04-10,23304
"Lewis Inc","Robert Richard",18465,2023-03-28,21691
"Lewis Inc","Brian Jones",13414,2023-11-19,23605
"Lewis Inc","Ana Owens",27339,2024-04-13,19739
"Lewis LLC","Benjamin Pierce",9946,2021-01-01,9946
"Lewis LLC","Sara Fisher",16103,2021-03-28,13025
"Lewis LLC","Timothy Harris",45774,2021-09-12,23941
"Lewis LLC","Kayla Edwards",14130,2022-01-01,25336
"Lewis LLC","Catherine Monroe",49074,2023-07-17,36326
"Lewis LLC","Megan Walker",25002,2023-11-22,29402
"Lewis, Douglas and Richard","Rebecca Martinez",23897,2020-08-03,23897
"Lloyd LLC","John Michael",4466,2020-09-22,4466
"Lloyd LLC","Jessica Garcia",32706,2022-01-22,18586
"Lloyd LLC","Nicholas Kerr",8790,2023-05-01,15321
"Lopez Group","Craig Zimmerman",15784,2021-02-16,15784
"Lopez Inc","Gabriel Moran",43443,2020-12-19,43443
"Lopez Inc","Howard Bush",46166,2021-05-03,44805
"Lopez Inc","Joshua Krause",7194,2021-12-07,32268
"Lopez Inc","Kathleen Keith",12251,2022-11-17,21870
"Lopez Inc","Timothy Clark",19489,2023-03-07,12978
"Lopez Inc","Bruce Morris",29759,2023-11-11,20500
"Lopez Inc","Dr. David Thompson",17422,2024-02-17,22223
"Lopez Inc","Gary Rodriguez",5988,2024-03-08,17723
Lopez-Boyd,"Kristy White",24686,2019-12-04,24686
Lopez-Boyd,"Monica Ramsey",3459,2023-04-27,14073
Lopez-Boyd,"Andrew Flores",28515,2024-03-25,18887
Lopez-Rodriguez,"Shelby York",24334,2020-02-06,24334
Lopez-Rodriguez,"Cynthia Obrien",25403,2020-03-13,24869
Lopez-Rodriguez,"Sue Taylor",25916,2020-12-24,25218
Lopez-Rodriguez,"Teresa Pearson",4736,2021-02-26,18685
Lopez-Rodriguez,"Lisa Schmidt",20173,2023-03-11,16942
Lopez-Rodriguez,"Troy Quinn",15642,2023-04-16,13517
Lopez-Rodriguez,"Christian Levine",29447,2024-10-08,21754
"Lopez, Grimes and Roberts","Katelyn Lamb",19980,2021-02-04,19980
"Lopez, Grimes and Roberts","John Brock",29616,2022-04-10,24798
"Lopez, Grimes and Roberts","Allen Wood",19501,2023-02-15,23032
"Lopez, Grimes and Roberts","Mark Smith",48428,2023-05-27,32515
"Lopez, Grimes and Roberts","Katie Mccoy",27019,2023-08-05,31649
"Lopez, Grimes and Roberts","Samantha Wong",33412,2023-12-20,36286
"Lopez, Ingram and Hodge","Cristian Kirk",48932,2019-10-26,48932
"Lopez, Ingram and Hodge","Mary Allen",41932,2020-01-21,45432
"Lopez, Ingram and Hodge","Julie Willis",38037,2020-12-03,42967
"Lopez, Ingram and Hodge","Rachael Bush",36823,2021-03-04,38931
"Lopez, Ingram and Hodge","Rhonda Guerra",26638,2022-04-07,33833
"Lopez, Ingram and Hodge","Michael Sweeney",31404,2023-03-16,31622
"Lopez, Ingram and Hodge","Sabrina Peterson",3216,2023-06-12,20419
"Lynn PLC","Kenneth Snyder",41407,2021-03-04,41407
"Lynn PLC","Cameron Hudson",31759,2021-09-03,36583
"Lynn PLC","Daniel Manning",38158,2022-06-02,37108
"Lynn PLC","Karen Daniels",29106,2022-11-14,33008
"Lynn PLC","Vanessa Gardner",39838,2023-03-08,35701
"Lynn PLC","Michael Martin",26103,2023-09-06,31682
"Lynn PLC","Jane Reynolds",39323,2024-09-12,35088
Mack-Doyle,"Kevin Baldwin",27640,2021-06-29,27640
Mack-Doyle,"Michael Dunn",3123,2021-09-24,15382
Mack-Doyle,"Andrew Olsen",14918,2024-09-22,15227
"Mann Group","Heather Williams",20871,2019-11-21,20871
"Mann Group","Heather Meyer",48228,2020-11-05,34550
"Mann Group","Kevin James",7284,2021-04-02,25461
"Mann Group","Michael Dixon",4169,2021-06-07,19894
"Mann Group","Shelby Haynes",42831,2022-05-14,18095
"Mann Group","Amy Williams",35429,2022-09-07,27476
Marquez-Cross,"Paul Phillips",18302,2022-03-19,18302
Marquez-Cross,"Jeffrey Lee",24020,2022-04-16,21161
Marquez-Cross,"Greg Mitchell",40801,2022-11-08,27708
Marquez-Cross,"William Drake",9016,2023-01-20,24612
Marquez-Cross,"Alexandria Chen",44384,2023-01-29,31400
Marquez-Cross,"Yvette Lee",6240,2024-01-25,19880
"Martin Group","Brian Campbell",13907,2020-02-07,13907
"Martin Group","Rebekah Alvarez",10146,2020-11-02,12027
"Martin Group","Michael Singh",36502,2021-04-06,20185
"Martin Group","Timothy Wells",49408,2021-12-23,32019
"Martin Group","Michael Sanders",25819,2022-02-08,37243
"Martin Group","Jennifer Contreras",15295,2022-03-30,30174
"Martin Group","Paul Duran",33781,2022-07-25,24965
"Martin Group","Erika Rodriguez",32003,2022-11-24,27026
"Martin Group","Darren Flores",32961,2023-05-03,32915
"Martin Group","Tyler Jackson",27931,2024-01-11,30965
"Martin Ltd","Beth Braun",32375,2020-03-05,32375
"Martin Ltd","Cindy David",12783,2024-09-14,22579
"Martin PLC","Dr. Megan Gonzalez DDS",11539,2021-12-11,11539
"Martin PLC","Mark Harrison",18554,2023-02-09,15047
"Martin PLC","Nicholas Pena",19182,2023-03-28,16425
Martin-Jones,"Kelly Williamson",14083,2021-08-03,14083
Martin-Jones,"Stephanie Lopez",40525,2023-06-27,27304
Martin-Jones,"John Saunders",17557,2024-02-24,24055
Martin-Jones,"Sydney Sutton",43043,2024-03-25,33708
Martin-Jones,"Nicole Arias",43498,2024-10-25,34699
Martin-Wood,"Lisa Parker",25516,2022-03-28,25516
Martin-Wood,"Christopher Lowe",49328,2023-03-23,37422
Martin-Wood,"Daniel Dickerson",16018,2023-03-27,30287
Martin-Wood,"Thomas Bates",17261,2023-03-29,27536
Martin-Wood,"Sharon Patterson",31258,2023-05-10,21512
Martin-Wood,"Kirsten Jimenez",43191,2023-09-10,30570
Martin-Wood,"Lisa Burns",32430,2023-10-11,35626
"Martin, Richardson and Johnson","Patrick Shaw MD",48422,2021-08-02,48422
"Martin, Richardson and Johnson","Casey Dudley",30326,2022-08-29,39374
"Martin, Richardson and Johnson","Karen Palmer",3693,2022-11-02,27480
"Martin, Richardson and Johnson","Dorothy Patterson MD",37773,2023-06-29,23931
"Martin, Williams and Lawson","Robert Brown",30006,2020-12-15,30006
"Martin, Williams and Lawson","Frank Knight",11417,2021-09-11,20712
"Martin, Williams and Lawson","Anthony Campos",30846,2022-09-28,24090
"Martin, Williams and Lawson","Jeff Bentley",33803,2023-10-27,25355
"Martinez Inc","Amanda West",21747,2022-07-03,21747
"Martinez Inc","Diane Johnston",7812,2022-11-14,14780
"Martinez Inc","Jessica Pennington",21531,2023-05-30,17030
"Martinez Inc","Joel Lawrence",16270,2024-07-10,15204
"Martinez Inc","William Williams",30657,2024-08-14,22819
"Martinez Inc","Jennifer Green",34350,2024-10-23,27092
"Martinez Ltd","Brandon Lamb",17601,2020-03-16,17601
"Martinez Ltd","Jessica Garcia MD",14017,2021-01-26,15809
"Martinez Ltd","Molly Ortiz",18704,2021-06-14,16774
"Martinez Ltd","Kevin Baker",15885,2022-10-28,16202
"Martinez Ltd","Rachel Lopez",27784,2023-01-12,20791
"Martinez Ltd","Amy Anderson",8980,2023-03-22,17550
"Martinez Ltd","Jessica Kent",5993,2024-06-06,14252
Martinez-Phillips,"Gregory Davila",6470,2021-01-14,6470
Martinez-Phillips,"Kelly Smith",35791,2022-03-23,21131
Martinez-Phillips,"Pam Miller",11499,2022-06-03,17920
Martinez-Phillips,"Kevin Costa",44429,2022-06-10,30573
Martinez-Reynolds,"Alejandro Reyes",22062,2020-04-25,22062
"Martinez, Cox and Malone","Ronald Ruiz",11371,2019-12-02,11371
"Martinez, Small and Cunningham","Alyssa Bailey",11932,2020-04-08,11932
"Martinez, Small and Cunningham","Michael Smith",39203,2020-05-13,25568
"Martinez, Small and Cunningham","Jacob White",16685,2022-04-07,22607
"Martinez, Small and Cunningham","Gerald Rivera",47779,2024-06-04,34556
"Martinez, Small and Cunningham","Brandon Howell",49155,2024-07-04,37873
"Martinez, Small and Cunningham","Thomas Ryan",34526,2024-10-19,43820
"Mason, Roberts and Smith","James Williams",39274,2019-11-30,39274
"Mason, Roberts and Smith","Andrew Smith",37235,2022-09-15,38255
"Mason, Roberts and Smith","Johnathan Brooks",45983,2023-11-16,40831
"Mathis and Sons","Lisa Martin",15044,2022-12-04,15044
"Matthews, Rogers and Tran","Mr. David Jordan",44150,2021-06-07,44150
"Matthews, Rogers and Tran","Andrea Griffith",26252,2021-07-17,35201
"Matthews, Rogers and Tran","Aaron Berg",18427,2022-11-19,29610
"Matthews, Rogers and Tran","Eric Robertson",21294,2023-01-29,21991
"Matthews, Rogers and Tran","Angela Moran",6635,2024-01-12,15452
"Mays Ltd","Clayton Kelly",14262,2020-01-08,14262
"Mays Ltd","William Merritt",17780,2021-04-24,16021
"Mays Ltd","Charles Floyd",43248,2024-10-21,25097
"Mccall, Williams and Mills","Jordan Torres",1792,2019-12-31,1792
"Mccall, Williams and Mills","Ryan Anderson",44217,2021-01-10,23005
"Mccall, Williams and Mills","Eric Fischer",19188,2024-01-23,21732
"Mccall, Williams and Mills","Kevin Cook",39280,2024-04-22,34228
"Mccann, West and Rodriguez","David Steele",10036,2020-01-05,10036
"Mccann, West and Rodriguez","Laura Burton",49930,2020-04-26,29983
"Mccann, West and Rodriguez","Robert Reyes",24824,2020-05-25,28263
"Mccann, West and Rodriguez","Denise Nichols",35655,2022-01-16,36803
"Mccann, West and Rodriguez","Timothy Smith Jr.",10647,2022-04-07,23709
"Mccann, West and Rodriguez","Ariel Gonzalez",5594,2023-02-07,17299
"Mccann, West and Rodriguez","Scott Mann",31971,2024-05-13,16071
"Mccann, West and Rodriguez","John Price",18202,2024-07-21,18589
"Mccullough, Stewart and Mora","Lance Harris",15176,2023-08-25,15176
"Mccullough, Stewart and Mora","Samantha Cruz",9270,2023-09-02,12223
"Mcdaniel, Summers and Rivera","Micheal Bonilla",7834,2022-07-13,7834
Mckee-Jensen,"Michelle Foley",6747,2020-01-31,6747
Mckee-Jensen,"Kimberly Roberts",24353,2021-03-31,15550
Mckee-Jensen,"Krista Harris",11856,2023-06-27,14319
Mckenzie-Odonnell,"William Watson",4912,2019-12-09,4912
Mckenzie-Odonnell,"Megan Cherry",23603,2023-06-07,14258
Mckenzie-Odonnell,"Bruce Hahn",44990,2023-09-04,24502
"Mckinney LLC","Todd Fuentes",43554,2020-11-01,43554
"Mckinney LLC","Roberto Hall",26285,2020-12-10,34920
"Mckinney LLC","Vicki Wilson",48240,2021-03-02,39360
"Mckinney LLC","Larry Sullivan",42561,2023-09-30,39029
"Mckinney, White and Mason","Susan Thompson",48475,2019-11-01,48475
"Mckinney, White and Mason","Richard Bailey",49471,2019-12-11,48973
"Mckinney, White and Mason","Cameron Montgomery",24167,2020-09-12,40704
"Mckinney, White and Mason","Miss Brittany Peterson",16940,2024-04-30,30193
"Mcpherson Group","Lisa Rivera",25731,2020-10-23,25731
"Mcpherson Group","Robert Lopez",43850,2021-10-06,34791
"Mcpherson Group","Ryan Lawrence",15896,2022-06-16,28492
"Mcpherson Group","Lisa Washington",25386,2023-08-11,28377
"Mcpherson Group","Dylan Butler",38341,2023-11-24,26541
"Mcpherson Group","Norman Davis",45490,2023-12-15,36406
"Mcpherson, Wilson and Miles","James Moore",6167,2019-12-19,6167
"Mcpherson, Wilson and Miles","Rachel Ruiz DVM",3934,2022-04-15,5051
"Mcpherson, Wilson and Miles","Steven Jennings",46750,2023-12-11,18950
"Mcpherson, Wilson and Miles","Matthew Smith",16383,2024-07-02,22356
"Meyer Group","Amy Garcia",21556,2020-08-22,21556
"Meyer Group","Ashley Banks",2316,2022-05-09,11936
"Meyer Group","Debbie Hill",23032,2023-02-16,15635
"Meza, Gibson and Adams","Frederick Trevino",6469,2022-10-07,6469
"Meza, Gibson and Adams","Jamie Armstrong",1714,2023-03-08,4092
"Meza, Gibson and Adams","Katherine Jenkins",48963,2024-06-02,19049
"Miles, Hill and Bell","James Vega",12732,2020-07-15,12732
"Miles, Hill and Bell","Ian Smith",24991,2021-02-06,18862
"Miles, Hill and Bell","James Choi",41546,2021-07-08,26423
"Miles, Hill and Bell","Dale Smith",23954,2022-08-31,30164
"Miller Inc","Glenn Parker",19989,2020-07-18,19989
"Miller Ltd","Kelly Lewis",34634,2020-05-23,34634
"Miller Ltd","Gabriella Morgan",39692,2020-06-08,37163
"Miller Ltd","Lindsay Goodman",12641,2022-02-19,28989
"Miller Ltd","Jessica Lara",34290,2022-07-01,28874
"Miller Ltd","Alison Wang",9871,2023-02-21,18934
"Miller Ltd","Teresa Alvarez",12979,2023-07-02,19047
Miller-Rivera,"James Baker",21108,2023-02-13,21108
Miller-Smith,"Jerry Weaver",48498,2021-01-17,48498
Miller-Smith,"Krista Sandoval",44436,2021-01-29,46467
Miller-Smith,"Charlene Bailey",35744,2022-05-29,42893
Miller-Smith,"Nathaniel Mcmahon",23338,2023-02-23,34506
Miller-Smith,"Barry Jackson",32082,2024-08-02,30388
Miranda-Ruiz,"Karen Robinson",8480,2020-09-13,8480
Miranda-Ruiz,"John Thomas",24292,2020-12-03,16386
Miranda-Ruiz,"Andrea Jackson",39912,2022-12-16,24228
Miranda-Ruiz,"Judy Murphy",26290,2023-04-15,30165
Mitchell-Novak,"David Douglas",26263,2021-04-11,26263
Mitchell-Novak,"Madison Henderson",45737,2022-01-04,36000
Mitchell-Novak,"Tammy Adams",24263,2022-12-30,32088
Mitchell-Novak,"Eric Thompson",8707,2024-02-17,26236
Mitchell-Novak,"Brandon Cameron",49679,2024-09-30,27550
Molina-Thompson,"Jacob Hull",37202,2020-08-11,37202
Molina-Thompson,"Stephanie Taylor",4347,2020-10-24,20775
Molina-Thompson,"Mr. Michael Green",49032,2022-04-05,30194
Molina-Thompson,"Jennifer Kennedy",44871,2023-01-20,32750
Molina-Thompson,"Joy Finley",27161,2024-06-05,40355
Montgomery-Douglas,"Stephanie Gordon",42103,2019-12-28,42103
Montgomery-Douglas,"Miranda Williams",21533,2020-01-29,31818
Montgomery-Douglas,"Shane Schroeder",40930,2021-06-13,34855
Montgomery-Douglas,"Mrs. Sharon Frank",7776,2021-12-27,23413
Montgomery-Douglas,"John Wells",24582,2022-02-05,24429
Montgomery-Douglas,"Ronald Cruz",17136,2023-04-13,16498
Montgomery-Douglas,"Amy Campbell",16209,2023-11-26,19309
Moon-Ball,"Catherine Hill",46952,2024-05-27,46952
Moon-Ball,"Christopher West",32984,2024-08-24,39968
"Moore and Sons","Stephen Charles",5646,2020-02-13,5646
"Moore and Sons","Jerry Miller",34006,2021-10-30,19826
"Moore PLC","Megan Dean",39798,2019-12-10,39798
"Moore PLC","Christopher Martin",1159,2021-06-19,20479
"Moore PLC","Jeffery Wright",24496,2022-04-02,21818
Moore-Irwin,"Melissa Wiley",33183,2020-03-20,33183
Moore-Irwin,"Christopher Wilson",33603,2020-05-14,33393
Moore-Irwin,"Veronica Page",32704,2020-12-08,33163
Moore-Irwin,"Melinda Velazquez",49955,2021-01-12,38754
Moore-Irwin,"Jill Howard",29236,2021-06-12,37298
Moore-Irwin,"Julie Jones",49131,2021-12-07,42774
Moore-Irwin,"Briana Hodge",26787,2022-01-09,35051
Moore-Irwin,"Melissa Diaz",16584,2023-01-31,30834
"Morris and Sons","Mandy Smith",43177,2020-10-09,43177
"Morris and Sons","Amanda Rojas",48992,2021-11-19,46085
"Morris and Sons","Karen Hall",32889,2021-12-26,41686
"Morris and Sons","Tammy Mcdaniel",10059,2023-03-02,30647
"Morris and Sons","Mckenzie Brown",14468,2023-06-03,19139
"Morris and Sons","Kimberly Johnson",16320,2023-10-28,13616
"Morris, Berger and Little","Kathleen Flores",10026,2021-10-07,10026
"Morris, Berger and Little","Jesse Thompson",23365,2022-09-26,16696
"Morris, Berger and Little","Catherine Chambers",45378,2024-10-03,26256
"Morris, Gonzalez and Diaz","Valerie Marsh",15152,2020-11-18,15152
"Morris, Gonzalez and Diaz","Curtis Palmer",21402,2022-04-11,18277
"Morris, Gonzalez and Diaz","Alison Martin",41811,2023-06-20,26122
"Mueller Group","Heather Mueller",38472,2020-04-08,38472
"Mueller Group","Jordan Gutierrez",22075,2021-04-30,30274
"Mueller Group","Robert Deleon",13728,2023-11-15,24758
"Murray Group","Benjamin Mcintosh",45444,2020-01-15,45444
"Murray Group","Lisa Morrison",12311,2020-04-06,28878
"Murray Group","Doris Barrett",13928,2024-05-25,23894
Murray-Harris,"Hannah Ryan",45909,2020-08-07,45909
Murray-Harris,"Daniel Buckley",40876,2020-11-02,43393
Murray-Harris,"Michael Curtis",36583,2020-11-15,41123
Murray-Harris,"George Bradley",42612,2021-02-18,40024
Murray-Harris,"Nathan Bowers",5532,2023-07-25,28242
Murray-Harris,"Daniel Simmons",8571,2024-08-06,18905
Murray-Harris,"John Barnes",2086,2024-10-07,5396
"Myers LLC","Jerry Horn",38711,2020-02-28,38711
"Myers LLC","Whitney Young",2271,2022-12-11,20491
"Myers LLC","Kimberly Stewart",4817,2024-07-19,15266
"Myers Ltd","Yolanda Taylor",21573,2020-02-10,21573
"Myers Ltd","Paul Lee MD",29830,2020-05-19,25702
"Myers Ltd","Corey Bryant",26587,2020-05-24,25997
"Myers Ltd","Brian Bolton",6188,2021-05-15,20868
"Myers Ltd","Daniel Giles",1652,2021-10-30,11476
"Myers Ltd","Shari Bishop",4617,2022-08-23,4152
"Myers Ltd","James Johnson",44049,2023-08-20,16773
"Myers, Mckay and Noble","Heather Stanton",33896,2020-02-08,33896
"Myers, Mckay and Noble","Jacqueline Moody",27847,2020-03-11,30872
"Myers, Mckay and Noble","Elizabeth Munoz",23027,2020-11-30,28257
"Myers, Mckay and Noble","Annette Richardson",8145,2021-06-24,19673
"Myers, Mckay and Noble","Anna Cox",12047,2021-12-13,14406
"Myers, Mckay and Noble","Scott Patton",21755,2022-05-12,13982
"Myers, Mckay and Noble","Michelle Lewis",41267,2023-01-11,25023
"Myers, Mckay and Noble","Lorraine Collins",3817,2024-03-17,22280
"Neal PLC","Heather Winters",16458,2021-07-16,16458
"Neal PLC","Elizabeth Stone",45107,2021-12-22,30783
"Neal PLC","Bridget Hicks",15794,2022-05-04,25786
"Neal PLC","Manuel Olson",38652,2023-11-25,33184
"Nelson LLC","Deborah Roberts",30735,2021-07-23,30735
"Nelson LLC","David Bailey",48906,2022-08-12,39821
"Nelson LLC","Austin Sherman",8341,2023-01-12,29327
Nelson-Gonzalez,"Nicholas Acosta",35701,2020-01-20,35701
Nelson-Gonzalez,"Rebecca Hutchinson",48876,2021-12-27,42289
Nelson-Gonzalez,"Donna Livingston",7293,2022-07-20,30623
Nelson-Gonzalez,"Kimberly Jones",23579,2022-09-12,26583
Nelson-Phillips,"Thomas Paul",10071,2019-11-04,10071
Nelson-Phillips,"Andrew Walton",49643,2022-01-22,29857
Nelson-Phillips,"Jennifer Allen",29791,2023-12-13,29835
Nelson-Phillips,"Barry Patton",26691,2024-05-27,35375
"Nguyen Ltd","Matthew Rice",17492,2020-05-16,17492
"Nguyen Ltd","Susan Herrera",33087,2020-12-08,25290
"Nguyen Ltd","Cheryl Campbell",13771,2024-09-25,21450
"Nguyen, Lewis and Smith","Katelyn Mendoza",2148,2020-10-01,2148
"Nguyen, Lewis and Smith","Stephanie Montgomery",8491,2020-11-22,5320
"Nguyen, Lewis and Smith","Savannah Odonnell",20221,2021-08-27,10287
"Nguyen, Lewis and Smith","Mark Gross",21236,2022-01-01,16649
"Nguyen, Lewis and Smith","Ricardo Pennington",2699,2023-12-25,14719
"Nguyen, Lewis and Smith","Larry Schwartz",12835,2024-02-05,12257
Nicholson-Woodward,"Vanessa Compton",10860,2020-11-04,10860
Nicholson-Woodward,"Natalie Nguyen MD",45366,2021-04-25,28113
Nicholson-Woodward,"Jonathan Rogers",46921,2021-07-27,34382
Nicholson-Woodward,"Michael Parsons",35685,2024-08-05,42657
Nielsen-Peterson,"Amy Lewis",24861,2020-08-09,24861
Nielsen-Peterson,"Jessica Martin",41040,2021-05-10,32951
Nielsen-Peterson,"Brittney Johnson PhD",7959,2023-08-04,24620
Nixon-Osborne,"Mr. Ian Gray",29906,2020-08-15,29906
Nixon-Osborne,"Brittany Kirby",7852,2022-08-08,18879
Nixon-Osborne,"Jessica Lane",31226,2022-11-13,22995
"Norman and Sons","Natalie Johnson",21951,2020-01-06,21951
"Norman and Sons","Walter Smith",19336,2021-03-22,20644
"Norman and Sons","James Burns",26232,2022-08-18,22506
"Norman and Sons","Terry Ford",15865,2022-11-08,20478
"Norton Group","James Reynolds",24414,2021-02-26,24414
"Norton Group","Anna Baxter",49762,2021-07-27,37088
"Norton Group","Mark Gonzales",29245,2022-03-14,34474
"Norton Group","Brian Allen DDS",38883,2022-05-15,39297
"Norton Group","Rebekah Fowler",21571,2022-12-05,29900
Obrien-Wood,"Mr. Brian Thomas",31992,2019-12-13,31992
Obrien-Wood,"Andrew Rodriguez",12053,2021-05-03,22023
Obrien-Wood,"Holly Armstrong",48307,2021-12-10,30784
Obrien-Wood,"Monique Murray",33404,2022-02-25,31255
Obrien-Wood,"Robert Jones",37806,2023-05-14,39839
"Oliver Ltd","Pamela Landry",40148,2021-02-07,40148
"Oliver Ltd","Kathleen Reed",43195,2023-05-17,41672
"Oliver Ltd","Kayla Meyers",20961,2024-09-29,34768
"Orozco Ltd","Lindsey Schwartz",15715,2020-03-03,15715
"Orozco Ltd","Garrett Walsh",17744,2020-10-10,16730
"Orozco Ltd","Mrs. Loretta Gibson",47104,2022-08-14,26854
"Orozco Ltd","Christina Gonzales",47984,2024-02-07,37611
"Ortega Inc","Mrs. Mindy Lewis",3725,2019-12-19,3725
"Ortega Inc","Joel Downs",43942,2020-07-25,23834
"Ortega Inc","Vincent Martin",3461,2021-09-03,17043
"Ortega Inc","Pamela Jackson",19726,2022-05-31,22376
"Ortega Inc","Lee Allen",44469,2023-05-28,22552
"Ortega Inc","Jamie Gentry",43460,2023-08-27,35885
"Ortega Inc","Kristina Berger",31610,2024-03-24,39846
"Ortiz, Marshall and Phillips","Kimberly Brown",35716,2020-07-06,35716
"Ortiz, Marshall and Phillips","Jose Miles",23359,2024-03-23,29538
Owen-Kim,"Jeffrey Vazquez",18478,2021-05-30,18478
Owen-Kim,"Ann Taylor",35378,2021-06-17,26928
